,kodPocztowy,lat,lon
54900,95-100,52.62878012036252,18.182777571721388
55000,95-100,52.62794396431023,18.180292251651807
55100,95-100,52.61919044191529,18.194786001110515
55200,95-100,52.606300828759984,18.162147752352556
55300,95-100,52.6002935156311,18.19783023823571
55400,97-400,52.588885795896154,17.311299822164877
55500,97-400,52.59067562961551,17.31018278802768
55600,97-400,52.590192717316825,17.352550148127264
55700,97-400,52.584388923271355,17.358776348692817
55800,97-400,52.611286165655294,17.357539690160884
55900,97-400,52.610344486558105,17.356661589611942
56000,99-400,52.95814545619096,18.577154616982238
56100,95-030,52.66119449508505,17.896996028946088
56200,98-331,52.45884237815348,16.891631903425665
56300,98-331,52.46029901090476,16.893229891667634
56400,98-331,52.453184671810355,16.873422874343984
56500,98-220,52.3408596675908,17.75431190116498
56600,98-220,52.301602289851985,17.732054743281633
56700,98-220,52.32274239332957,17.761252963897622
56800,98-220,52.33372039950925,17.739432274825955
56900,95-030,52.67161996625098,17.844543124905595
57000,98-275,52.1213200990863,17.582994040835512
57100,98-331,52.43067425040887,16.82991193299361
57200,98-331,52.452133609428614,16.873355156627834
57300,98-331,52.43983903774172,16.93338756671802
57400,98-331,52.446615444820836,16.93532649301712
57500,98-220,52.34476111810531,17.708914506355622
57600,98-220,52.340610466952015,17.713675119744433
57700,98-220,52.321014202175036,17.75942257760524
57800,98-220,52.3179035741163,17.730777846656576
57900,98-220,52.31728718714113,17.72534474880491
58000,95-030,52.66412948139532,17.851525300386463
58100,95-030,52.65150693231495,17.84244264900839
58200,98-275,52.13159092274543,17.60989053978841
58300,98-275,52.12065944143532,17.59871118134092
58400,98-220,52.323202860373264,17.77002220597603
58500,98-220,52.31634337733397,17.756946845195767
58600,98-220,52.357838651778984,17.714604571153878
58700,98-220,52.36428391138016,17.70105318277717
58800,95-030,52.66979112183727,17.842708458847635
58900,95-030,52.6635745004957,17.85405985583442
59000,98-220,52.330772951190674,17.728644914605777
59100,98-220,52.32477091331914,17.730979095136703
59200,98-220,52.31631709380751,17.723368394084268
59300,98-220,52.31208534255167,17.724049242769695
59400,98-220,52.334055447680555,17.737607696054603
59500,95-030,52.664411061568366,17.843121283921057
59600,98-220,52.31150967819036,17.765028735962993
59700,98-220,52.32093948181381,17.767698355157812
59800,98-220,52.31941832911055,17.77226242463792
59900,98-220,52.32970988878561,17.763828260779196
60000,95-030,52.661928833958015,17.836036795364667
60100,98-220,52.33268136739773,17.757147842706537
60200,98-220,52.35575023932253,17.71507689166705
60300,98-220,52.31200375880125,17.735429690081006
60400,98-220,52.31233511501988,17.735743076818302
60500,98-220,52.33112601903186,17.74708608717981
60600,98-220,52.32731540151717,17.75857018385299
60700,97-565,52.56412276078979,17.03881445246398
60800,98-220,52.31342473213017,17.790373655699266
60900,98-220,52.316038603795086,17.76085212555083
61000,98-220,52.31050512696678,17.77388998675196
61100,98-220,52.33767130792793,17.7179430322233
61200,98-220,52.32852009273519,17.726596981345512
61300,97-360,52.66604888088123,17.09171049219287
61400,97-360,52.66302992152201,17.068391476836602
61500,97-360,52.66326173564851,17.07096080377973
61600,97-565,52.56182114293152,17.002280745799734
61700,97-565,52.5505315283805,17.003961642226066
61800,97-565,52.55731336881918,17.044653001850726
61900,98-220,52.317086709882176,17.75430919510695
62000,97-360,52.68983414423013,17.109898845458346
62100,97-360,52.659090722319625,17.091203513849564
62200,97-360,52.65970002022457,17.09751938381946
62300,97-360,52.66804121579157,17.089343875197997
62400,97-360,52.684900409252,17.09610852867885
62500,97-360,52.69283683214284,17.091596532498677
62600,97-360,52.694689794305766,17.09928297729876
62700,97-410,52.577069504361646,17.110490251598236
62800,97-410,52.56727346782283,17.106467106863054
62900,99-400,52.95080306721183,18.572047413344478
63000,99-400,52.93842560479884,18.541792262167277
63100,99-400,52.944893400576596,18.602171987883224
63200,99-400,52.9409521024613,18.560877327814467
63300,99-400,52.924127772420505,18.573042114739124
63400,99-400,52.9313971225232,18.551525852802154
63500,99-400,52.941311634393486,18.570813320325342
63600,99-400,52.94034085563419,18.572000932420867
63700,99-400,52.94749532630985,18.576386152470437
63800,99-400,52.96160848799238,18.567493417146135
63900,99-400,52.957433914796525,18.583986358941363
64000,99-400,52.94921128241683,18.594536545187342
64100,99-400,52.93493938816996,18.546318263601453
64200,99-400,52.94542357963647,18.554971025943473
64300,99-400,52.94920815003014,18.576780549583873
64400,99-400,52.94579994582271,18.607124758972734
64500,99-400,52.95000723381016,18.60045829551775
64600,99-400,52.950733310574854,18.619831131617747
64700,99-400,52.94200423467419,18.57116107144097
64800,99-400,52.9371529383496,18.561703093537282
64900,99-400,52.93568494243445,18.554783390648666
65000,99-400,52.940876511818104,18.54901724011829
65100,99-400,52.95872122937289,18.60841904309088
65200,99-400,52.947906310547204,18.575187010790458
65300,99-400,52.95253366821853,18.580703656095213
65400,99-400,52.94753370119561,18.602259098800417
65500,99-400,52.93500603489211,18.551271848249797
65600,92-701,52.72495884192442,18.113001230000158
65700,92-701,52.72260929379877,18.105579701133305
65800,92-701,52.72660216250729,18.112468409348963
65900,26-307,53.15982915974845,17.23466076257064
66000,26-307,53.15585731952646,17.239644845073048
66100,26-307,53.164775162618135,17.23817593496766
66200,26-307,53.164629609450856,17.239139610068584
66300,92-701,52.71724398773859,18.120488148528988
66400,92-701,52.732152659080555,18.097884666861155
66500,92-701,52.704688029280156,18.106386469725823
66600,26-307,53.16803353015419,17.228053599670297
66700,26-307,53.16437164758453,17.235534079466177
66800,98-220,52.34499064690151,17.71963431707345
66900,98-220,52.34966637287398,17.72636574127441
67000,98-220,52.36798711738107,17.699668199181982
67100,92-701,52.72787712306141,18.10803985605881
67200,92-701,52.703818012477576,18.102107186323757
67300,92-701,52.7251336088635,18.10718209401389
67400,92-701,52.706495621344075,18.11351765943234
67500,98-220,52.308710436369644,17.740184844300863
67600,98-220,52.31956737993415,17.731318914355242
67700,98-220,52.329847651908594,17.738946227135727
67800,98-220,52.324614905687596,17.744702243672876
67900,98-220,52.34487594344092,17.73683441046399
68000,98-220,52.33527853784846,17.753057382164375
68100,98-220,52.30272124913236,17.71670466595409
68200,26-341,53.00649925033846,17.367393215791118
68300,26-341,52.995357620529376,17.360294104305904
